Word,Frequency
troubleshooting,17671
documentation,8496
software development,6670
testing,5493
quality assurance,9348
training,11469
problemsolving,20414
administration,772
evaluation,1342
project management,44528
risk management,9410
mentoring,6943
business development,4209
networking,4416
innovation,4237
analytical skills,16033
collaboration,16447
communication,53878
problem solving,27081
critical thinking,6877
strategic thinking,1685
decision making,5389
leadership,26585
negotiation,4503
team work,2276
safety,7265
business analysis,3660
strategic planning,2673
microsoft office suite,13413
excellent communication skills,931
time management skills,1839
power bi,3083
data visualization,4667
data analysis,23767
communication skills,33919
microsoft office,11443
customer service,25131
sales,6726
travel,5424
retail,2277
machine learning,5020
devops,3952
sql,13636
python,16050
java,8721
aws,7418
team player,3681
stakeholder management,3586
time management,18548
organizational skills,11676
customer service skills,1870
manufacturing,5425
mechanical engineering,10440
client relationship management,1172
safety compliance,1318
financial management,1931
computer skills,4122
electrical engineering,11466
team management,4623
procurement,2539
budgeting,10167
contract management,2476
initiative,3662
teamwork skills,1769
tableau,3876
inventory management,5727
logistics,1599
performance management,2180
reporting,8671
security,3707
team building,2254
change management,4879
process improvement,4611
supply chain management,2364
sap,4489
preventative maintenance,2497
continuous improvement,4882
inspection,1558
maintenance,6225
technical support,2589
budget management,5316
problemsolving skills,8037
azure,4295
docker,3592
kubernetes,3784
quality control,7811
cleaning,1146
multitasking,9045
teamwork,31830
recruitment,2222
client relations,1989
relationship building,2905
insurance,866
conflict resolution,4524
civil engineering,8248
automation,4612
cv,310
creativity,2388
construction,4337
ms office suite,1865
attention to detail,21236
organization,6388
ability to work independently,2275
ability to work under pressure,1676
ability to meet deadlines,1389
autocad,8741
construction management,5289
risk assessment,3000
team leadership,6073
project planning,3503
cost control,1784
strong communication skills,1402
interpersonal skills,16610
leadership skills,3716
selfmotivation,2784
training and development,1990
coaching,4604
diversity and inclusion,2023
accounting,4630
business administration,2026
autonomy,1021
planning,5736
english,2211
food preparation,522
food handling,226
interpersonal communication,973
shift work,970
monitoring,1512
bachelor's degree,15148
detailoriented,2191
financial planning,1010
financial analysis,4644
forecasting,3903
microsoft excel,5456
oracle,2639
motivation,2398
research,5444
teaching,1534
mentorship,1136
veterinary medicine,116
radiology,247
stress management,1211
medical,1479
dental,1572
vision insurance,2555
data management,3762
technical writing,6160
regulatory compliance,3605
driver's license,4155
compliance,4502
report writing,3601
data entry,2404
