target_skills,Synonyms
communication,"communication, communication skills, verbal communication, written communication, oral communication, strong communication skills, effective communication, written communication skills"
project management,"project management, project planning, project execution, project scheduling, project engineering"
customer service,"customer service, customer service skills, customer focus"
teamwork,"teamwork, team work, team player, teamwork skills, team collaboration, team environment, crossfunctional collaboration, crossfunctional teams"
leadership,"leadership, team leadership, leadership skills, team management, supervisory experience, people management"
problem solving,"problem solving, problemsolving, problemsolving skills, problem resolution, troubleshooting, root cause analysis, debugging, critical thinking, analytical thinking"
data analysis,"data analysis, data analytics, analytical skills, data interpretation, statistical analysis, financial analysis, business analysis, data science, analytics"
attention to detail,"attention to detail, detailoriented, accuracy"
time management,"time management, time management skills, prioritization, multitasking, scheduling"
python,python
collaboration,collaboration
interpersonal skills,"interpersonal skills, relationship building, client relations, stakeholder management, stakeholder engagement, conflict resolution"
bachelor's degree,"bachelor's degree, bachelor's degree in engineering"
sql,"sql, sql server, database management"
training,"training, training and development, mentoring, coaching, mentorship"
microsoft office,"microsoft office, microsoft office suite, ms office, ms office suite, excel, microsoft excel, word, microsoft word, powerpoint, microsoft powerpoint, outlook"
organizational skills,"organizational skills, organization, planning"
inventory management,"inventory management, inventory control"
engineering,"engineering, mechanical engineering, electrical engineering, civil engineering, structural engineering, chemical engineering, systems engineering, manufacturing engineering, industrial engineering, aerospace engineering"
sales,"sales, retail sales, merchandising, retail, retail experience, retail management, retail operations"
budgeting,"budgeting, budget management, cost control, cost estimation, financial management"
java,java
adaptability,"adaptability, flexibility"
risk management,"risk management, risk assessment, safety management"
autocad,"autocad, cad"
quality assurance,"quality assurance, quality control, quality management, quality improvement"
aws,"aws, amazon web services"
reporting,"reporting, report writing, financial reporting, documentation, technical writing"
safety,"safety, safety procedures, safety compliance, osha"
computer science,"computer science, computer engineering, information technology, software engineering, software development, programming"
high school diploma,"high school diploma, high school diploma or ged, high school diploma or equivalent, ged"
agile,"agile, agile methodology, agile methodologies, agile development, scrum"
presentation skills,"presentation skills, presentation, presentations, public speaking"
management,"management, supervision, performance management, contract management, construction management, maintenance management, resource management, vendor management, client management, account management"
linux,"linux, unix"
paid time off,"paid time off, pto, paid holidays"
research,research
testing,"testing, software testing, unit testing, quality testing"
design,"design, software design, system design, architecture"
construction,construction
devops,"devops, ci/cd, continuous integration, jenkins, docker, kubernetes, terraform, ansible"
process improvement,"process improvement, continuous improvement, lean manufacturing, six sigma, best practices"
git,"git, github"
innovation,"innovation, creativity"
tableau,"tableau, power bi, data visualization"
patient care,"patient care, nursing, healthcare"
initiative,"initiative, selfmotivation, selfstarter"
forecasting,forecasting
data management,"data management, data governance, data quality, data integrity, data processing, data collection, data mining, data engineering, data warehousing, big data"
decision making,"decision making, decisionmaking, strategic thinking"
marketing,"marketing, business development, market research"
development,"development, product development"
diversity,"diversity, diversity and inclusion, inclusion, equal opportunity employer, equal employment opportunity"
analysis,"analysis, data modeling, requirements gathering"
integrity,"integrity, ethics, confidentiality"
r,r
statistics,"statistics, mathematics"
ability to work independently,"ability to work independently, independent work, ability to work independently and as part of a team"
